intensity_mean,intensity_std,intensity_skew,intensity_kurtosis,intensity_p10,intensity_p25,intensity_p50,intensity_p75,intensity_p90,patient_id
0.4173455834388733,0.2094372808933258,0.5754811763763428,0.2509915232658386,0.1640597867965698,0.2327498376369476,0.422138375043869,0.5536428391933441,0.6371149456501006,55742
0.3634577691555023,0.2326225340366363,0.7626661062240601,0.2310248613357544,0.1044118276238441,0.1629793509840965,0.3307973861694336,0.5220063328742981,0.6591947519779204,19574
0.423539400100708,0.218793123960495,0.4084758162498474,0.0346354022622108,0.1474523295462131,0.2393837377429008,0.4323618024587631,0.5654151141643524,0.6746792566776276,42555
0.3860581815242767,0.2543963491916656,0.5777554512023926,-0.3737291693687439,0.1034551820158958,0.1560411874204874,0.3417036831378937,0.6049630284309387,0.7042707717418671,31845
0.3793403506278991,0.2108016014099121,0.9877015352249146,0.9869152307510376,0.1530178824067115,0.2038132585585117,0.3519573375582695,0.4967172756791115,0.6319447612762452,55663
0.3297153413295746,0.2416608780622482,0.848558783531189,-0.0168318506330251,0.0894353356957435,0.1245498728007078,0.2523306727409363,0.5214983016252518,0.6398087143898012,12879
0.5444862246513367,0.2226950824260711,0.1221981272101402,-0.2740081250667572,0.2518139091134072,0.3765306025743484,0.5611492156982422,0.6952009260654449,0.8312975752353668,13657
0.5835040807723999,0.2035574465990066,-0.2859572172164917,0.1356190741062164,0.3005410581827163,0.4650633290410041,0.6061879158020019,0.6998552918434143,0.8462817943096164,49737
0.4768675863742828,0.2605007886886596,0.3318777680397033,-0.3274994492530823,0.1324057108163833,0.2586013242602348,0.4949330568313598,0.6437560826539993,0.8376050996780396,45265
0.4360033571720123,0.2610677182674408,0.4275010228157043,-0.4344851970672607,0.1084631225466728,0.2122867040336132,0.4343253314495087,0.5997246682643891,0.7766738426685333,17959
0.605205237865448,0.17852184176445,-0.1597805023193359,1.239960789680481,0.3766774851083755,0.5294986844062806,0.6084511399269104,0.6940801829099655,0.8256297206878662,63177
0.4263235926628113,0.2330372780561447,0.4510878622531891,-0.2420948445796966,0.1460264959931373,0.2186662562191486,0.4243011027574539,0.5862636357545853,0.674880393743515,54472
0.4203816950321197,0.2453113049268722,0.5150111317634583,-0.5032106041908264,0.1401047441363334,0.1945466704666614,0.378452718257904,0.6200392007827759,0.7284176003932953,50640
